movieId,title,genres
1,Save the Last Dance (2001),Drama|Romance
2,"Wedding Planner, The (2001)",Comedy|Romance
3,Hannibal (2001),Horror|Thriller
4,Saving Silverman (Evil Woman) (2001),Comedy|Romance
5,Down to Earth (2001),Comedy|Fantasy|Romance
6,"Mexican, The (2001)",Action|Comedy
7,15 Minutes (2001),Thriller
8,Heartbreakers (2001),Comedy|Crime|Romance
9,Spy Kids (2001),Action|Adventure|Children|Comedy
10,Along Came a Spider (2001),Action|Crime|Mystery|Thriller
11,Blow (2001),Crime|Drama
12,Bridget Jones's Diary (2001),Comedy|Drama|Romance
13,Joe Dirt (2001),Adventure|Comedy|Mystery|Romance
14,Crocodile Dundee in Los Angeles (2001),Comedy|Drama
15,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller
16,"Knight's Tale, A (2001)",Action|Comedy|Romance
17,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
18,"Animal, The (2001)",Comedy
19,Evolution (2001),Comedy|Sci-Fi
20,Swordfish (2001),Action|Crime|Drama
21,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy
22,Lara Croft: Tomb Raider (2001),Action|Adventure
23,Dr. Dolittle 2 (2001),Comedy
24,"Fast and the Furious, The (2001)",Action|Crime|Thriller
25,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
26,Cats & Dogs (2001),Children|Comedy
27,Scary Movie 2 (2001),Comedy
28,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi
29,Legally Blonde (2001),Comedy|Romance
30,"Score, The (2001)",Action|Drama
31,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller
32,America's Sweethearts (2001),Comedy|Romance
33,Ghost World (2001),Comedy|Drama
34,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi
35,"Princess Diaries, The (2001)",Children|Comedy|Romance
36,Rush Hour 2 (2001),Action|Comedy
37,American Pie 2 (2001),Comedy
38,"Others, The (2001)",Drama|Horror|Mystery|Thriller
39,Rat Race (2001),Comedy
40,Jay and Silent Bob Strike Back (2001),Adventure|Comedy
41,Training Day (2001),Crime|Drama|Thriller
42,Zoolander (2001),Comedy
43,Serendipity (2001),Comedy|Romance
44,From Hell (2001),Crime|Horror|Mystery|Thriller
45,Waking Life (2001),Animation|Drama|Fantasy
46,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
47,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller
48,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
49,"Man Who Wasn't There, The (2001)",Crime|Drama
